iter	Passed	Remaining
0	507	507222
1	508	253980
2	510	169525
3	511	127270
4	512	101945
5	513	85041
6	515	73181
7	517	64127
8	518	57057
9	519	51409
10	521	46847
11	522	43021
12	524	39809
13	525	36999
14	530	34865
15	532	32731
16	533	30831
17	541	29568
18	543	28051
19	546	26774
20	547	25530
21	549	24416
22	555	23613
23	558	22721
24	559	21839
25	560	21004
26	561	20231
27	562	19526
28	563	18869
29	564	18243
30	564	17660
31	568	17210
32	572	16768
33	573	16293
34	574	15831
35	574	15396
36	575	14982
37	576	14594
38	577	14225
39	577	13871
40	578	13533
41	584	13330
42	585	13036
43	586	12744
44	587	12464
45	592	12278
46	593	12028
47	594	11792
48	595	11558
49	596	11340
50	598	11128
51	598	10914
52	599	10709
53	600	10512
54	603	10367
55	605	10200
56	605	10024
57	606	9853
58	607	9687
59	608	9530
60	609	9375
61	609	9223
62	610	9076
63	610	8933
64	611	8795
65	612	8662
66	617	8599
67	620	8508
68	622	8403
69	623	8289
70	625	8181
71	625	8068
72	626	7960
73	627	7855
74	635	7838
75	637	7751
76	638	7655
77	639	7558
78	640	7471
79	641	7382
80	642	7292
81	643	7204
82	647	7157
83	651	7104
84	652	7025
85	653	6948
86	654	6872
87	656	6799
88	656	6722
89	657	6648
90	658	6574
91	658	6502
92	664	6483
93	667	6437
94	668	6372
95	669	6306
96	670	6243
97	671	6182
98	672	6120
99	673	6059
100	673	5998
101	674	5938
102	679	5920
103	682	5879
104	683	5829
105	684	5775
106	685	5723
107	687	5674
108	687	5622
109	688	5570
110	689	5518
111	690	5471
112	695	5459
113	698	5426
114	699	5382
115	700	5336
116	700	5288
117	701	5243
118	702	5200
119	703	5158
120	704	5115
121	705	5075
122	719	5128
123	721	5093
124	721	5052
125	726	5036
126	727	4998
127	727	4959
128	728	4919
129	729	4883
130	730	4847
131	731	4811
132	732	4774
133	733	4743
134	734	4709
135	735	4675
136	736	4640
137	740	4624
138	742	4600
139	743	4569
140	745	4540
141	746	4509
142	747	4477
143	747	4445
144	748	4412
145	749	4381
146	754	4380
147	755	4351
148	757	4325
149	758	4298
150	759	4269
151	760	4241
152	761	4213
153	761	4184
154	762	4156
155	763	4129
156	763	4101
157	764	4074
158	768	4067
159	770	4044
160	770	4017
161	771	3993
162	773	3969
163	773	3945
164	774	3920
165	775	3896
166	776	3873
167	777	3849
168	777	3825
169	778	3801
170	779	3777
171	779	3754
172	783	3746
173	785	3728
174	786	3707
175	788	3691
176	789	3670
177	790	3649
178	791	3629
179	792	3609
180	793	3589
181	793	3568
182	794	3548
183	799	3546
184	801	3533
185	803	3516
186	804	3498
187	805	3480
188	806	3461
189	807	3443
190	808	3426
191	809	3408
192	810	3390
193	819	3405
194	821	3390
195	822	3374
196	825	3364
197	832	3371
198	836	3366
199	837	3350
200	838	3334
201	839	3317
202	841	3303
203	842	3285
204	842	3268
205	852	3285
206	854	3274
207	855	3258
208	857	3244
209	858	3229
210	859	3212
211	864	3214
212	865	3198
213	867	3185
214	868	3170
215	869	3154
216	874	3155
217	876	3143
218	878	3134
219	879	3119
220	880	3105
221	881	3090
222	882	3075
223	883	3061
224	884	3046
225	885	3031
226	891	3034
227	893	3026
228	894	3012
229	895	2998
230	896	2985
231	897	2972
232	898	2958
233	899	2945
234	900	2932
235	906	2936
236	908	2924
237	909	2911
238	910	2897
239	910	2884
240	911	2871
